#  l   n    nu          A       delta
#         (muHz)
#
   0  14  2093.499   0.23203   4.19982
   0  15  2228.823   0.34740   5.24116
   0  16  2363.452   0.48658   2.17223
   0  17  2497.331   0.63814   1.00527
   0  18  2631.389   0.78541   2.26709
   0  19  2766.646   0.90773   3.35245
   0  20  2902.217   0.98315   5.59057
   0  21  3038.018   0.99743   1.21997
   0  22  3174.047   0.94757   2.98228
   0  23  3310.120   0.84284   2.90075
   0  24  3446.834   0.70121   1.69198
   0  25  3583.859   0.54551   3.90802
   0  26  3721.109   0.39675   1.09868
   0  27  3858.734   0.26956   3.23701
   0  28  3996.400   0.17119   1.91238
   1  13  2020.655   0.18176   0.64848
   1  14  2156.837   0.28256   2.05074
   1  15  2292.257   0.41045   0.07481
   1  16  2426.363   0.55711   4.10535
   1  17  2560.630   0.70950   2.95554
   1  18  2695.389   0.84793   2.28780
   1  19  2830.944   0.95046   4.56699
   1  20  2967.019   0.99807   4.47045
   1  21  3102.918   0.98135   0.48369
   1  22  3239.156   0.90332   3.54438
   1  23  3375.716   0.77806   5.45209
   1  24  3512.584   0.62682   1.94561
   1  25  3649.972   0.47187   4.17877
   1  26  3787.423   0.33211   5.18679
   1  27  3925.155   0.21836   1.42380
   2  13  2082.049   0.22357   3.92404
   2  14  2217.753   0.33694   2.37344
   2  15  2352.852   0.47496   3.38783
   2  16  2487.016   0.62636   1.98767
   2  17  2621.395   0.77505   6.13593
   2  18  2756.931   0.90029   4.98234
   2  19  2892.784   0.97977   3.35909
   2  20  3028.949   0.99851   0.86818
   2  21  3165.258   0.95261   1.77401
   2  22  3301.619   0.85067   5.70092
   2  23  3438.617   0.71034   5.24659
   2  24  3575.877   0.55456   4.63379
   2  25  3713.401   0.40463   1.02365
   2  26  3851.257   0.27575   4.70654
   2  27  3989.146   0.17563   0.99700
   3  12  2001.082   0.16966   5.55781
   3  13  2137.821   0.26673   5.32231
   3  14  2273.685   0.39147   4.15598
   3  15  2408.407   0.53677   3.00112
   3  16  2543.102   0.68996   0.29236
   3  17  2678.122   0.83178   5.72005
   3  18  2814.149   0.94044   1.74781
   3  19  2950.629   0.99568   4.88403
   3  20  3086.969   0.98664   1.86612
   3  21  3223.685   0.91489   4.41108
   3  22  3360.591   0.79361   1.19588
   3  23  3497.894   0.64358   4.56850
   3  24  3635.688   0.48753   4.28809
   3  25  3773.518   0.34518   6.24912
   3  26  3911.680   0.22818   4.04925
